U,damp 1,damp 2,damp 3,freq 1,freq 2,freq 3
1.00E+00,-8.38E-03,-2.19E-06,5.06E-04,8.84E+00,5.57E+01,7.10E+01
1.70E+00,-1.59E-02,-8.82E-04,-6.86E-04,8.85E+00,5.55E+01,7.09E+01
2.39E+00,-2.35E-02,-1.92E-03,-2.02E-03,8.85E+00,5.55E+01,7.09E+01
3.09E+00,-3.13E-02,-3.02E-03,-2.71E-03,8.85E+00,5.54E+01,7.08E+01
3.79E+00,-3.94E-02,-4.15E-03,-2.85E-03,8.86E+00,5.54E+01,7.08E+01
4.48E+00,-4.76E-02,-5.27E-03,-2.84E-03,8.86E+00,5.53E+01,7.08E+01
5.18E+00,-5.60E-02,-6.41E-03,-2.95E-03,8.86E+00,5.53E+01,7.07E+01
5.88E+00,-6.46E-02,-7.54E-03,-3.23E-03,8.86E+00,5.53E+01,7.07E+01
6.58E+00,-7.34E-02,-8.68E-03,-3.69E-03,8.87E+00,5.53E+01,7.07E+01
7.27E+00,-8.20E-02,-9.81E-03,-4.28E-03,8.87E+00,5.53E+01,7.06E+01
7.97E+00,-9.10E-02,-1.09E-02,-5.01E-03,8.87E+00,5.53E+01,7.06E+01
8.67E+00,-1.00E-01,-1.21E-02,-5.84E-03,8.87E+00,5.53E+01,7.05E+01
9.36E+00,-1.09E-01,-1.32E-02,-6.75E-03,8.87E+00,5.53E+01,7.05E+01
1.01E+01,-1.18E-01,-1.44E-02,-7.74E-03,8.86E+00,5.53E+01,7.04E+01
1.08E+01,-1.27E-01,-1.55E-02,-8.79E-03,8.86E+00,5.53E+01,7.03E+01
1.15E+01,-1.37E-01,-1.67E-02,-9.88E-03,8.86E+00,5.53E+01,7.03E+01
1.22E+01,-1.46E-01,-1.78E-02,-1.10E-02,8.86E+00,5.54E+01,7.02E+01
1.29E+01,-1.56E-01,-1.90E-02,-1.22E-02,8.86E+00,5.54E+01,7.01E+01
1.36E+01,-1.66E-01,-2.02E-02,-1.34E-02,8.85E+00,5.54E+01,7.00E+01
1.42E+01,-1.75E-01,-2.13E-02,-1.46E-02,8.85E+00,5.54E+01,6.99E+01
1.49E+01,-1.85E-01,-2.25E-02,-1.59E-02,8.85E+00,5.54E+01,6.98E+01
1.56E+01,-1.95E-01,-2.37E-02,-1.71E-02,8.84E+00,5.54E+01,6.97E+01
1.63E+01,-2.05E-01,-2.50E-02,-1.84E-02,8.84E+00,5.54E+01,6.96E+01
1.70E+01,-2.16E-01,-2.62E-02,-1.97E-02,8.83E+00,5.54E+01,6.95E+01
1.77E+01,-2.26E-01,-2.75E-02,-2.10E-02,8.83E+00,5.54E+01,6.93E+01
1.84E+01,-2.37E-01,-2.87E-02,-2.23E-02,8.82E+00,5.54E+01,6.92E+01
1.91E+01,-2.48E-01,-3.00E-02,-2.35E-02,8.82E+00,5.54E+01,6.91E+01
1.98E+01,-2.59E-01,-3.14E-02,-2.48E-02,8.81E+00,5.54E+01,6.89E+01
2.05E+01,-2.70E-01,-3.27E-02,-2.60E-02,8.80E+00,5.54E+01,6.88E+01
2.12E+01,-2.81E-01,-3.41E-02,-2.72E-02,8.79E+00,5.54E+01,6.86E+01
2.19E+01,-2.93E-01,-3.55E-02,-2.84E-02,8.79E+00,5.54E+01,6.85E+01
2.26E+01,-3.05E-01,-3.69E-02,-2.95E-02,8.78E+00,5.54E+01,6.83E+01
2.33E+01,-3.17E-01,-3.83E-02,-3.06E-02,8.77E+00,5.54E+01,6.81E+01
2.40E+01,-3.30E-01,-3.98E-02,-3.17E-02,8.76E+00,5.54E+01,6.80E+01
2.47E+01,-3.42E-01,-4.13E-02,-3.27E-02,8.75E+00,5.55E+01,6.78E+01
2.54E+01,-3.55E-01,-4.28E-02,-3.37E-02,8.74E+00,5.55E+01,6.76E+01
2.61E+01,-3.68E-01,-4.44E-02,-3.46E-02,8.72E+00,5.55E+01,6.74E+01
2.68E+01,-3.82E-01,-4.60E-02,-3.55E-02,8.71E+00,5.55E+01,6.72E+01
2.75E+01,-3.96E-01,-4.77E-02,-3.63E-02,8.70E+00,5.55E+01,6.70E+01
2.82E+01,-4.10E-01,-4.94E-02,-3.70E-02,8.68E+00,5.55E+01,6.67E+01
2.89E+01,-4.25E-01,-5.12E-02,-3.77E-02,8.67E+00,5.55E+01,6.65E+01
2.96E+01,-4.40E-01,-5.30E-02,-3.83E-02,8.65E+00,5.55E+01,6.63E+01
3.03E+01,-4.55E-01,-5.48E-02,-3.89E-02,8.64E+00,5.55E+01,6.60E+01
3.10E+01,-4.71E-01,-5.68E-02,-3.93E-02,8.62E+00,5.55E+01,6.58E+01
3.17E+01,-4.88E-01,-5.88E-02,-3.97E-02,8.60E+00,5.55E+01,6.55E+01
3.24E+01,-5.04E-01,-6.08E-02,-3.99E-02,8.58E+00,5.55E+01,6.53E+01
3.31E+01,-5.22E-01,-6.30E-02,-4.01E-02,8.56E+00,5.55E+01,6.50E+01
3.38E+01,-5.40E-01,-6.53E-02,-4.01E-02,8.54E+00,5.55E+01,6.48E+01
3.45E+01,-5.59E-01,-6.76E-02,-4.01E-02,8.52E+00,5.55E+01,6.45E+01
3.52E+01,-5.78E-01,-7.02E-02,-3.99E-02,8.50E+00,5.55E+01,6.42E+01
3.59E+01,-5.98E-01,-7.28E-02,-3.96E-02,8.47E+00,5.55E+01,6.39E+01
3.66E+01,-6.19E-01,-7.56E-02,-3.92E-02,8.44E+00,5.55E+01,6.36E+01
3.72E+01,-6.41E-01,-7.85E-02,-3.87E-02,8.42E+00,5.55E+01,6.33E+01
3.79E+01,-6.64E-01,-8.17E-02,-3.79E-02,8.39E+00,5.54E+01,6.30E+01
3.86E+01,-6.88E-01,-8.51E-02,-3.70E-02,8.35E+00,5.54E+01,6.27E+01
3.93E+01,-7.12E-01,-8.86E-02,-3.58E-02,8.32E+00,5.54E+01,6.24E+01
