U,Damp 1,Freq 1,Damp 2,Freq 2,Damp 3,Freq 3,Damp 4,Freq 4,Damp 5,Freq 5,Damp 6,Freq 6
1.00E+00,-2.71E-03,1.24E+01,-1.06E-12,4.38E+01,1.40E-04,7.72E+01,-6.31E-06,2.13E+02,-4.46E-11,2.70E+02,-2.22E-04,3.48E+02
4.44E+00,-1.67E-02,1.24E+01,1.37E-10,4.38E+01,-1.65E-03,7.69E+01,-8.80E-05,2.12E+02,1.04E-10,2.70E+02,2.44E-03,3.48E+02
7.89E+00,-3.24E-02,1.24E+01,5.94E-12,4.38E+01,-3.64E-03,7.69E+01,-7.31E-04,2.12E+02,-6.52E-10,2.70E+02,-3.89E-04,3.47E+02
1.13E+01,-4.93E-02,1.24E+01,-2.90E-10,4.38E+01,-5.75E-03,7.69E+01,-1.40E-03,2.12E+02,-1.14E-09,2.70E+02,-3.97E-03,3.47E+02
1.48E+01,-6.69E-02,1.24E+01,-5.58E-10,4.38E+01,-7.92E-03,7.69E+01,-2.08E-03,2.12E+02,-1.21E-09,2.70E+02,-4.35E-03,3.46E+02
1.82E+01,-8.48E-02,1.24E+01,-6.97E-10,4.38E+01,-1.01E-02,7.69E+01,-2.77E-03,2.12E+02,-1.19E-09,2.70E+02,-1.92E-03,3.46E+02
2.17E+01,-1.03E-01,1.25E+01,-7.24E-10,4.38E+01,-1.24E-02,7.69E+01,-3.47E-03,2.12E+02,-1.28E-09,2.70E+02,1.37E-03,3.46E+02
2.51E+01,-1.21E-01,1.25E+01,-7.09E-10,4.38E+01,-1.46E-02,7.70E+01,-4.18E-03,2.12E+02,-1.51E-09,2.70E+02,4.09E-03,3.46E+02
2.86E+01,-1.40E-01,1.25E+01,-7.42E-10,4.38E+01,-1.70E-02,7.70E+01,-4.90E-03,2.12E+02,-1.84E-09,2.70E+02,5.95E-03,3.46E+02
3.20E+01,-1.59E-01,1.25E+01,-8.59E-10,4.38E+01,-1.93E-02,7.70E+01,-5.61E-03,2.12E+02,-2.27E-09,2.70E+02,6.95E-03,3.45E+02
3.54E+01,-1.78E-01,1.24E+01,-1.06E-09,4.38E+01,-2.18E-02,7.70E+01,-6.33E-03,2.12E+02,-2.77E-09,2.70E+02,7.22E-03,3.45E+02
3.89E+01,-1.97E-01,1.24E+01,-1.33E-09,4.38E+01,-2.42E-02,7.70E+01,-7.06E-03,2.12E+02,-3.35E-09,2.70E+02,6.84E-03,3.45E+02
4.23E+01,-2.16E-01,1.24E+01,-1.68E-09,4.38E+01,-2.67E-02,7.70E+01,-7.78E-03,2.12E+02,-3.98E-09,2.70E+02,5.94E-03,3.44E+02
4.58E+01,-2.36E-01,1.24E+01,-2.09E-09,4.38E+01,-2.92E-02,7.70E+01,-8.51E-03,2.12E+02,-4.66E-09,2.70E+02,4.57E-03,3.44E+02
4.92E+01,-2.56E-01,1.24E+01,-2.54E-09,4.38E+01,-3.18E-02,7.71E+01,-9.24E-03,2.12E+02,-5.39E-09,2.70E+02,2.83E-03,3.44E+02
5.27E+01,-2.76E-01,1.24E+01,-3.05E-09,4.38E+01,-3.44E-02,7.71E+01,-9.97E-03,2.12E+02,-6.17E-09,2.70E+02,7.61E-04,3.43E+02
5.61E+01,-2.96E-01,1.24E+01,-3.58E-09,4.38E+01,-3.70E-02,7.71E+01,-1.07E-02,2.12E+02,-6.99E-09,2.70E+02,-1.59E-03,3.43E+02
5.96E+01,-3.16E-01,1.24E+01,-4.17E-09,4.38E+01,-3.97E-02,7.71E+01,-1.14E-02,2.12E+02,-7.86E-09,2.70E+02,-4.19E-03,3.42E+02
6.30E+01,-3.37E-01,1.24E+01,-4.78E-09,4.38E+01,-4.23E-02,7.71E+01,-1.22E-02,2.12E+02,-8.78E-09,2.70E+02,-7.00E-03,3.42E+02
6.64E+01,-3.58E-01,1.23E+01,-5.42E-09,4.38E+01,-4.50E-02,7.71E+01,-1.29E-02,2.12E+02,-9.74E-09,2.70E+02,-9.99E-03,3.41E+02
6.99E+01,-3.80E-01,1.23E+01,-6.09E-09,4.38E+01,-4.78E-02,7.71E+01,-1.37E-02,2.12E+02,-1.08E-08,2.70E+02,-1.32E-02,3.40E+02
